Period,Ticker,Category,Universe,Drop threshold (%),Holding period,Number of big drop days,Average return (%),Benchmark average return (%),Edge vs benchmark (%),Win rate (%),Best return (%),Worst return (%),Average winning trade (%),Average losing trade (%),Risk-adjusted score
2015-2019,XLF,Sector,Core,-2.0,5,48,0.97,0.24,0.73,64.58,7.66,-5.72,2.69,-2.17,0.336
2015-2019,SPY,Broad Index,Core,-1.5,3,56,0.73,0.14,0.58,64.29,5.72,-8.19,2.12,-1.77,0.329
2015-2019,QQQ,Broad Index,Core,-2.0,5,54,1.04,0.34,0.7,62.96,7.98,-8.59,2.92,-2.15,0.324
2015-2019,XLK,Sector,Core,-1.5,5,93,1.1,0.38,0.72,67.74,8.98,-8.43,2.71,-2.28,0.315
2015-2019,DIA,Broad Index,Core,-2.0,5,30,1.03,0.25,0.77,70.0,7.0,-7.5,2.52,-2.46,0.313
2015-2019,QQQ,Broad Index,Core,-1.5,5,88,0.98,0.34,0.64,62.5,7.98,-8.59,2.82,-2.08,0.309
2015-2019,XLF,Sector,Core,-1.5,5,84,0.92,0.24,0.67,66.67,7.66,-5.97,2.5,-2.26,0.299
2015-2019,SOXX,Semiconductors,Expanded Addition,-3.0,1,37,0.6,0.1,0.5,64.86,4.51,-4.06,1.82,-1.67,0.298
2015-2019,SOXX,Semiconductors,Expanded Addition,-3.0,5,37,1.29,0.48,0.81,62.16,9.66,-6.16,3.76,-2.78,0.29
2015-2019,IGV,Software,Expanded Addition,-2.5,5,43,1.33,0.42,0.92,67.44,9.67,-9.21,3.56,-3.28,0.279
2015-2019,XLY,Sector,Expanded Addition,-1.5,3,65,0.66,0.17,0.49,58.46,6.81,-7.45,2.42,-1.82,0.272
2015-2019,XLE,Sector,Core,-3.0,3,30,0.85,0.01,0.84,66.67,6.99,-6.32,2.86,-3.18,0.264
2015-2019,DIA,Broad Index,Core,-1.5,5,58,0.79,0.25,0.54,67.24,7.0,-7.5,2.18,-2.05,0.263
2015-2019,IGV,Software,Expanded Addition,-1.5,5,114,1.05,0.42,0.63,66.67,9.67,-9.21,2.77,-2.41,0.261
2015-2019,XLK,Sector,Core,-1.0,5,144,0.92,0.38,0.54,65.28,8.98,-8.43,2.54,-2.11,0.257
2015-2019,SOXX,Semiconductors,Expanded Addition,-2.5,5,59,1.11,0.48,0.63,57.63,9.66,-6.16,3.74,-2.47,0.255
2015-2019,XLU,Sector,Expanded Addition,-2.0,3,29,0.37,0.13,0.24,62.07,2.66,-2.87,1.18,-0.96,0.252
2015-2019,XLY,Sector,Expanded Addition,-1.5,5,65,0.86,0.28,0.58,66.15,8.46,-8.02,2.49,-2.33,0.248
2015-2019,SLV,Commodities,Expanded Addition,-2.0,1,65,0.23,0.02,0.21,58.46,2.73,-3.1,1.03,-0.9,0.238
2015-2019,QQQ,Broad Index,Core,-1.5,3,88,0.65,0.2,0.44,57.95,7.29,-8.4,2.47,-1.86,0.238
2015-2019,XLK,Sector,Core,-1.5,3,93,0.71,0.23,0.48,62.37,6.63,-8.34,2.37,-2.04,0.237
2015-2019,QQQ,Broad Index,Core,-1.0,5,148,0.84,0.34,0.5,66.22,7.98,-8.59,2.36,-2.15,0.232
2015-2019,XLF,Sector,Core,-1.5,3,84,0.6,0.15,0.45,61.9,7.32,-8.93,2.18,-1.97,0.23
2015-2019,XLI,Sector,Expanded Addition,-1.5,5,73,0.68,0.22,0.46,58.9,8.24,-7.94,2.55,-2.0,0.23
2015-2019,XLB,Sector,Expanded Addition,-2.0,3,43,0.61,0.1,0.51,60.47,6.6,-5.34,2.48,-2.24,0.23
2015-2019,XLF,Sector,Core,-1.0,5,148,0.7,0.24,0.46,64.19,7.66,-5.97,2.24,-2.06,0.223
2015-2019,IGV,Software,Expanded Addition,-2.0,5,66,1.09,0.42,0.68,66.67,9.67,-9.21,3.22,-3.16,0.214
2015-2019,QQQ,Broad Index,Core,-2.0,3,54,0.73,0.2,0.52,62.96,7.29,-8.4,2.61,-2.48,0.211
2015-2019,XLP,Sector,Expanded Addition,-1.5,5,41,0.58,0.17,0.41,68.29,3.59,-7.63,1.8,-2.03,0.204
2015-2019,DIA,Broad Index,Core,-1.0,5,111,0.65,0.25,0.4,65.77,7.0,-7.5,2.04,-2.02,0.198
2015-2019,XLF,Sector,Core,-2.0,3,48,0.62,0.15,0.47,62.5,7.32,-8.93,2.42,-2.39,0.198
2015-2019,SOXX,Semiconductors,Expanded Addition,-2.0,5,86,0.97,0.48,0.49,60.47,9.66,-6.16,3.22,-2.48,0.195
2015-2019,SMH,Semiconductors,Expanded Addition,-3.0,3,33,0.74,0.28,0.46,57.58,6.7,-5.09,3.08,-2.43,0.189
2015-2019,XLV,Sector,Core,-1.5,5,69,0.64,0.21,0.43,66.67,6.5,-7.02,2.11,-2.3,0.187
2015-2019,SPY,Broad Index,Core,-1.0,5,104,0.64,0.24,0.4,66.35,6.76,-7.7,2.07,-2.17,0.184
2015-2019,DIA,Broad Index,Core,-1.5,3,58,0.52,0.15,0.37,63.79,5.68,-7.77,1.96,-2.02,0.183
2015-2019,XLI,Sector,Expanded Addition,-1.5,3,73,0.49,0.13,0.36,58.9,6.07,-7.45,2.18,-1.95,0.183
2015-2019,XLI,Sector,Expanded Addition,-1.0,5,141,0.53,0.22,0.32,60.28,8.24,-7.94,2.04,-1.75,0.18
2015-2019,XLP,Sector,Expanded Addition,-1.0,5,95,0.46,0.17,0.29,64.21,5.43,-7.63,1.63,-1.64,0.178
2015-2019,XLV,Sector,Core,-2.0,3,38,0.54,0.13,0.41,63.16,5.64,-8.11,2.2,-2.32,0.177
2015-2019,QQQ,Broad Index,Core,-2.0,1,54,0.29,0.07,0.23,55.56,6.24,-4.37,1.56,-1.29,0.176
2015-2019,XLK,Sector,Core,-2.5,1,30,0.38,0.08,0.31,56.67,6.04,-4.18,2.03,-1.76,0.175
2015-2019,IGV,Software,Expanded Addition,-2.5,3,43,0.72,0.25,0.47,60.47,8.36,-8.59,2.94,-2.68,0.174
2015-2019,SPY,Broad Index,Core,-1.0,3,104,0.47,0.14,0.32,62.5,6.41,-8.19,1.87,-1.87,0.173
2015-2019,XLB,Sector,Expanded Addition,-2.5,3,25,0.47,0.1,0.37,56.0,5.83,-5.34,2.54,-2.16,0.172
2015-2019,XLV,Sector,Core,-1.0,5,145,0.56,0.21,0.35,66.9,6.5,-8.12,1.88,-2.1,0.168
2015-2019,IGV,Software,Expanded Addition,-2.0,3,66,0.63,0.25,0.38,57.58,8.36,-8.59,2.8,-2.3,0.167
2015-2019,QQQ,Broad Index,Core,-1.0,3,148,0.47,0.2,0.27,55.41,7.29,-8.4,2.14,-1.61,0.165
2015-2019,IGV,Software,Expanded Addition,-1.0,5,184,0.77,0.42,0.35,63.04,9.67,-9.21,2.57,-2.35,0.15
2015-2019,DIA,Broad Index,Core,-1.0,3,111,0.4,0.15,0.24,60.36,6.29,-7.77,1.77,-1.69,0.143
2015-2019,XLF,Sector,Core,-1.0,3,148,0.4,0.15,0.25,56.76,7.32,-8.93,2.03,-1.75,0.143
2015-2019,XLB,Sector,Expanded Addition,-1.5,3,83,0.4,0.1,0.3,60.24,7.05,-8.0,2.04,-2.1,0.142
2015-2019,QQQ,Broad Index,Core,-1.5,1,88,0.23,0.07,0.16,55.68,6.24,-4.37,1.34,-1.16,0.142
2015-2019,SLV,Commodities,Expanded Addition,-1.5,1,111,0.15,0.02,0.13,60.36,2.73,-5.2,0.87,-0.95,0.14
2015-2019,GLD,Commodities,Expanded Addition,-1.0,1,100,0.1,0.02,0.07,56.0,2.4,-2.72,0.59,-0.53,0.139
2015-2019,SMH,Semiconductors,Expanded Addition,-2.0,5,84,0.81,0.47,0.34,58.33,9.9,-8.79,3.19,-2.52,0.135
2015-2019,XLF,Sector,Core,-1.5,1,84,0.24,0.05,0.19,66.67,4.53,-5.04,1.08,-1.44,0.134
2015-2019,XLY,Sector,Expanded Addition,-1.0,5,127,0.54,0.28,0.26,61.42,8.46,-8.02,2.14,-1.99,0.133
2015-2019,USO,Commodities,Expanded Addition,-3.0,1,93,0.26,-0.01,0.27,59.14,8.98,-6.32,1.85,-2.05,0.131
2015-2019,IGV,Software,Expanded Addition,-1.5,3,114,0.5,0.25,0.25,56.14,8.36,-8.59,2.37,-1.89,0.131
2015-2019,XLK,Sector,Core,-1.0,3,144,0.47,0.23,0.25,58.33,6.63,-8.34,2.19,-1.92,0.128
2015-2019,SMH,Semiconductors,Expanded Addition,-2.5,1,56,0.31,0.09,0.22,55.36,5.62,-4.51,1.93,-1.7,0.127
2015-2019,USO,Commodities,Expanded Addition,-2.5,1,151,0.23,-0.01,0.24,57.62,8.98,-6.32,1.79,-1.9,0.125
2015-2019,XLP,Sector,Expanded Addition,-1.0,3,95,0.28,0.1,0.17,62.11,3.78,-4.4,1.32,-1.43,0.122
2015-2019,XLF,Sector,Core,-1.0,1,148,0.2,0.05,0.15,63.51,4.53,-5.04,1.03,-1.26,0.119
2015-2019,XLY,Sector,Expanded Addition,-1.0,3,127,0.35,0.17,0.18,55.91,6.81,-7.45,1.84,-1.54,0.116
2015-2019,XLK,Sector,Core,-2.0,1,50,0.25,0.08,0.17,58.0,6.04,-4.18,1.56,-1.56,0.111
2015-2019,XLF,Sector,Core,-2.5,1,27,0.25,0.05,0.2,62.96,4.22,-4.27,1.46,-1.82,0.109
2015-2019,SOXX,Semiconductors,Expanded Addition,-1.0,5,233,0.78,0.48,0.3,61.37,9.66,-10.21,3.03,-2.8,0.107
2015-2019,XLP,Sector,Expanded Addition,-1.5,3,41,0.3,0.1,0.19,63.41,3.78,-4.4,1.52,-1.83,0.104
2015-2019,SMH,Semiconductors,Expanded Addition,-1.0,5,238,0.75,0.47,0.28,60.5,9.9,-8.93,3.0,-2.71,0.102
2015-2019,XLY,Sector,Expanded Addition,-1.0,1,127,0.16,0.05,0.1,59.06,5.93,-3.99,0.98,-1.03,0.101
2015-2019,XLV,Sector,Core,-1.0,3,145,0.29,0.13,0.16,57.93,5.65,-8.11,1.71,-1.66,0.098
2015-2019,IWM,Broad Index,Core,-2.0,5,40,0.42,0.19,0.23,60.0,5.06,-8.13,2.26,-2.34,0.098
2015-2019,XLV,Sector,Core,-1.5,3,69,0.31,0.13,0.18,57.97,5.64,-8.11,1.9,-1.88,0.098
2015-2019,XLB,Sector,Expanded Addition,-1.5,1,83,0.17,0.03,0.14,63.86,4.48,-4.19,1.06,-1.41,0.096
2015-2019,XLI,Sector,Expanded Addition,-1.0,3,141,0.29,0.13,0.16,57.45,6.07,-7.45,1.73,-1.66,0.095
2015-2019,XLE,Sector,Core,-1.0,3,241,0.21,0.01,0.2,56.85,11.03,-10.74,2.01,-2.15,0.094
2015-2019,DIA,Broad Index,Core,-2.0,1,30,0.23,0.05,0.18,66.67,4.86,-4.57,1.33,-1.99,0.089
2015-2019,IGV,Software,Expanded Addition,-1.0,3,184,0.4,0.25,0.15,56.52,8.36,-8.59,2.06,-1.78,0.086
2015-2019,XLK,Sector,Core,-1.0,1,144,0.18,0.08,0.11,57.64,6.04,-4.18,1.25,-1.27,0.086
2015-2019,XLU,Sector,Expanded Addition,-1.0,3,135,0.25,0.13,0.12,60.0,4.3,-5.04,1.35,-1.41,0.084
2015-2019,IWM,Broad Index,Core,-1.5,5,87,0.41,0.19,0.22,60.92,8.61,-8.4,2.37,-2.64,0.084
2015-2019,IWM,Broad Index,Core,-1.5,3,87,0.28,0.11,0.17,60.92,7.17,-6.06,1.8,-2.08,0.081
2015-2019,IGV,Software,Expanded Addition,-1.0,1,184,0.18,0.08,0.1,62.5,6.51,-4.52,1.06,-1.29,0.078
2015-2019,SOXX,Semiconductors,Expanded Addition,-2.5,1,59,0.22,0.1,0.13,57.63,6.0,-4.71,1.64,-1.7,0.076
2015-2019,XLV,Sector,Core,-1.0,1,145,0.13,0.04,0.09,57.24,4.36,-4.43,1.07,-1.13,0.076
2015-2019,SOXX,Semiconductors,Expanded Addition,-1.5,5,146,0.68,0.48,0.19,56.85,9.66,-10.21,3.11,-2.53,0.076
2015-2019,IGV,Software,Expanded Addition,-3.0,1,29,0.21,0.08,0.13,58.62,4.59,-4.52,1.61,-1.77,0.073
2015-2019,SPY,Broad Index,Core,-2.0,1,30,0.21,0.05,0.16,66.67,5.05,-4.21,1.44,-2.26,0.071
2015-2019,DIA,Broad Index,Core,-1.0,1,111,0.14,0.05,0.09,63.06,4.86,-4.57,0.97,-1.28,0.07
2015-2019,QQQ,Broad Index,Core,-1.0,1,148,0.14,0.07,0.08,55.41,6.24,-4.37,1.2,-1.17,0.066
2015-2019,XLF,Sector,Core,-2.0,1,48,0.16,0.05,0.11,62.5,4.53,-5.04,1.31,-1.76,0.064
2015-2019,DIA,Broad Index,Core,-1.5,1,58,0.15,0.05,0.1,65.52,4.86,-4.57,1.11,-1.66,0.063
2015-2019,XLV,Sector,Core,-2.0,1,38,0.15,0.04,0.11,57.89,4.36,-4.25,1.53,-1.74,0.063
2015-2019,IGV,Software,Expanded Addition,-1.5,1,114,0.16,0.08,0.08,59.65,6.51,-4.52,1.17,-1.33,0.059
2015-2019,SPY,Broad Index,Core,-1.0,1,104,0.12,0.05,0.07,60.58,5.05,-4.21,1.0,-1.23,0.058
2015-2019,SMH,Semiconductors,Expanded Addition,-1.0,3,238,0.4,0.28,0.12,55.88,10.51,-7.52,2.46,-2.21,0.055
2015-2019,IGV,Software,Expanded Addition,-2.0,1,66,0.16,0.08,0.08,56.06,6.51,-4.52,1.42,-1.44,0.055
2015-2019,XLE,Sector,Core,-3.0,1,30,0.11,0.0,0.1,60.0,6.22,-5.37,1.59,-2.12,0.05
2015-2019,XLB,Sector,Expanded Addition,-1.0,5,173,0.27,0.17,0.11,57.23,9.06,-8.22,2.1,-2.17,0.05
2015-2019,XLI,Sector,Expanded Addition,-2.0,1,38,0.13,0.04,0.08,63.16,4.66,-4.54,1.19,-1.69,0.05
2015-2019,SOXX,Semiconductors,Expanded Addition,-1.0,3,233,0.39,0.29,0.1,55.79,10.43,-7.59,2.49,-2.25,0.046
2015-2019,XLE,Sector,Core,-2.5,3,44,0.16,0.01,0.15,59.09,6.99,-10.74,2.54,-3.28,0.045
2015-2019,SOXX,Semiconductors,Expanded Addition,-2.0,1,86,0.16,0.1,0.07,55.81,6.0,-4.71,1.51,-1.54,0.043
2015-2019,SMH,Semiconductors,Expanded Addition,-1.5,5,141,0.58,0.47,0.11,56.03,9.9,-8.93,3.19,-2.74,0.04
2015-2019,XLK,Sector,Core,-1.5,1,93,0.13,0.08,0.06,55.91,6.04,-4.18,1.33,-1.4,0.04
2015-2019,XLE,Sector,Core,-1.5,3,136,0.11,0.01,0.1,58.09,6.99,-10.74,2.0,-2.52,0.038
2015-2019,IWM,Broad Index,Core,-2.0,1,40,0.08,0.04,0.04,57.5,2.19,-3.28,1.04,-1.22,0.035
2015-2019,SPY,Broad Index,Core,-1.5,1,56,0.1,0.05,0.05,57.14,5.05,-4.21,1.24,-1.43,0.034
2015-2019,IWM,Broad Index,Core,-1.0,5,166,0.26,0.19,0.07,58.43,8.61,-8.4,2.21,-2.49,0.026
2015-2019,XLB,Sector,Expanded Addition,-2.0,1,43,0.05,0.03,0.02,60.47,4.48,-4.19,1.27,-1.8,0.012
2015-2019,XLV,Sector,Core,-1.5,1,69,0.05,0.04,0.01,55.07,4.36,-4.25,1.21,-1.37,0.005
2015-2019,IWM,Broad Index,Core,-2.0,3,40,0.12,0.11,0.01,60.0,5.79,-6.06,1.77,-2.34,0.004
